PersonID	FirstName	LastName	BirthDate	AddressLine	Phone
1	Leanne	Cornwell	6/20/1954	100 Main Street	504-555-5763
2	Leanne	Cornwell	9/27/1954	123 Elm Street	504-555-5763
3	Levi	Arun	8/28/1956	4661 Bluetail	1 (11) 500 555-0127
4	Cheryl	Diaz	2/25/1970	7297 Kaywood Drive	1 (11) 500 555-0192
5	Aimee	He	6/14/1960	1833 Olympic Drive	1 (11) 500 555-0161
6	Edgar	Sara	9/13/1969	6127 Lilly Lane	1 (11) 500 555-0125
7	Micheal	Blanco	2/21/1962	596 Marfargoa Drive	1 (11) 500 555-0131
8	Philip	Alvarez	6/20/1960	2775 Mt. Olivet Pl.	1 (11) 500 555-0191
9	Jasmine	Taylor	7/20/1978	2457 Matterhorn Court	557-555-0146
10	Brianna	Hughes	9/17/1975	6793 Bonifacio St.	319-555-0183
11	Ian	Gray	2/13/1945	5941 Gill Dr.	596-555-0190
12	Jasmine	Torres	5/20/1950	8328 San Francisco	939-555-0130
14	Cindy	Patel	7/13/1955	Essener Stra¤e 123	1 (11) 500 555-0149
15	Katelyn	Carter	1/17/1969	3050 Monte Cresta Avenue	103-555-0195
16	Christian	Thomas	1/16/1962	5205 Coralie Drive	692-555-0172
17	Sean	Evans	6/19/1960	7118 Elliott Dr.	791-555-0174
18	Micah	Zhou	6/22/1960	6105 Brownstone Rd	497-555-0185
19	Erin	Sanders	2/19/1972	7541 Black Point Pl	233-555-0160
20	Randy	Zeng	8/21/1936	2334 Brandywine Way	1 (11) 500 555-0144
21	Raymond	Rodriguez	7/26/1957	5357 Willow Drive	288-555-0189
22	Devin	Ross	1/25/1968	Postenweg 2428	1 (11) 500 555-0172
23	Erika	Rubio	11/14/1947	5065 Maywood Lane	1 (11) 500 555-0159
24	Melvin	Xu	2/22/1980	4092 Folson Drive	1 (11) 500 555-0113
25	Colleen	Ma	8/20/1980	 place Beaubernard	288-555-0189
26	Pedro	Vance	11/14/1974	4438 Chrislend Court	149-555-0132
